TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2021,RELS,1301,4,Intro To Religious Studies,Tamber-Rosenau,Caryn M,14,14,11,1,6,0,0,0,3,2.602
Fall 2021,MUSI,6370,1,Art Song Repertoire,Sonnenberg,Melanie,4,2,0,0,0,0,0,0,0,3.557
Fall 2021,CIVE,6335,2,Advanced Concrete Design,Belarbi,Abdeldjelil,2,2,3,0,2,0,0,0,1,2.149
Fall 2021,BIOE,8399,6,Doctoral Dissertation,Naash,Muna,0,0,0,0,0,3,0,0,0,0
Fall 2021,SOCW,7305,4,Evaluation of SW Practice,Rubin,Allen,23,5,0,0,0,0,0,0,0,3.821
Fall 2021,BCHS,6198,1,Special Problems,Schwartz,Robert J,0,0,0,0,0,10,0,0,0,0
Fall 2021,COMM,7397,1,Selected Topics - Comm,Choi,Ho Joon,23,2,0,0,0,0,0,0,0,3.894
Fall 2021,ECON,7365,1,Labor Economics,Juhn,Chinhui,11,2,0,0,0,0,0,0,0,3.745
Fall 2021,HRMA,6317,3,Innovative Hosp. Technologies,Lee,Minwoo,4,0,0,0,0,0,0,0,0,4
Fall 2021,BIOL,6397,2,Selected Topics in Biology,Graur,Dan,3,0,0,0,0,0,0,0,0,4
Fall 2021,COMM,6335,1,Health Comm. Theory & Research,Xiao,Zhiwen,10,0,0,0,0,0,0,0,0,3.868
Fall 2021,LAW,5381,1,Legal Negotiation,Abbott,Jeanna L,16,27,0,0,0,0,0,1,0,3.426
Fall 2021,CIVE,6396,1,Master's Research Project,Wang,Keh-Han,1,0,0,0,0,0,0,0,0,4
Fall 2021,ECE,3441,1,Digital Logic Design,Sheth,Bhavin R.,33,16,8,5,7,0,0,0,5,2.884
Fall 2021,MATH,4388,1,History of Mathematics,Ji,Shanyu,23,14,4,1,6,0,0,0,1,3.02
Fall 2021,BIOL,1106,2,Biology for Science Majors I,Medrano,Ana I,15,7,0,0,0,0,0,0,1,3.727
Fall 2021,ENGL,3351,2,Am Lit Since 1865,Ellis,Amanda,15,5,6,2,1,0,0,0,2,3.023
Fall 2021,HIST,4369,1,Modern Mexico 1810 To Present,Cedillo,Adela Cedillo,5,11,6,2,2,0,0,0,3,2.539
Fall 2021,INDS,3500,1,Industrial Design Studio V,Feng,Jeff Feng,1,7,0,0,0,0,0,0,0,3.249
Fall 2021,HDCS,1300,3,Human Ecosystems & Tech Change,Gatterson,Beverly,38,6,5,0,0,0,0,0,3,3.673
Fall 2021,HLT,3301,4,Health Behavior Theories,Haq,Arooba A,12,17,5,2,0,0,0,0,0,3.01
Fall 2021,COMM,3317,1,Multimedia Journalism,Smith,Camilo Hannibal,20,0,0,0,0,0,0,0,0,4
Fall 2021,PHYS,1102,15,College Physics II (lab),Maric,Sladjana,1,16,5,0,0,0,0,0,2,2.653
Fall 2021,MECT,3358,1,Dynamics of Mechanisms,Basaran,Burak,4,4,4,7,3,0,0,0,3,1.925
Fall 2021,INAR,4500,1,Interior Arch Studio VII,Bruton,Alan P,1,3,2,0,0,0,0,0,0,2.943
Fall 2021,CUIN,4332,3,Literacy Assess Rdg Writing,Reis,Nancy,24,0,0,0,0,0,0,0,0,4
Fall 2021,IDNS,1131,2,Calculus I SEP Workshop,Pattison,Donna,14,0,0,1,0,0,0,0,1,3.8
Fall 2021,HDFS,2320,1,Research Methods in HDFS,Rab,Saira,12,16,6,0,2,0,0,0,0,3.018
Fall 2021,NURS,3310,1,Prof Role Dev & Practice Issue,Brooks,Andrea Nicole,23,0,0,0,0,0,0,0,0,4
Fall 2021,PHYS,4370,1,Nanophysics,Curran,Seamus A,5,7,2,0,0,0,0,0,0,3.261
Fall 2021,DRAM,1310,4,Introduction to Theatre,Verheyen PhD,Claremarie H,11,11,0,1,3,0,0,1,1,2.898
Fall 2021,CHEE,3369,1,Chemical Engr Transport Proc,Economou,Demetre J,1,3,10,6,0,0,0,0,9,1.967
Fall 2021,ACCT,4330,1,Advanced Accounting,Ramaswamy,Vinita,12,3,0,0,0,0,0,0,0,3.8
Fall 2021,ENGL,1302,11,First Year Writing II,Stewart-Steele,Heather Marie,3,5,4,1,2,0,0,0,5,2.488
Fall 2021,MUSA,3400,2,Applied Voice,Clayton Vasquez,Cynthia L,1,0,0,0,0,0,0,0,0,4
Fall 2021,WCL,3373,1,Gender and Sexuality in Film,Adkins,Alexander,9,0,3,0,2,0,0,0,0,2.976
Fall 2021,COMD,7391,10,Clinic in Speech Lang Disorder,Cizek,Laura S,2,0,0,0,0,0,0,0,0,3.67
Fall 2021,INDS,6322,1,Visual Communication,Suttajit,Don,1,0,1,0,0,0,0,0,0,3
Fall 2021,PSYC,6392,1,Intervention Practicum,Babcock,Julia,0,0,0,0,0,13,0,0,0,0
Fall 2021,MECE,8399,23,Doctoral Dissertation,Ryou,Jae-Hyun,0,0,0,0,0,0,0,0,0,0
Fall 2021,ARCH,7600,11,Architecture Design Studio V,KYRIAKOU,KYRIAKOS,1,1,0,0,0,0,0,0,0,3.17
Fall 2021,BIOE,6399,2,Masters Thesis,Merchant,Fatima Aziz,0,0,0,0,0,1,0,0,0,0
Fall 2021,INDE,8398,2,Doctoral Research,Feng,Qianmei,0,0,0,0,0,0,1,0,0,0
Fall 2021,CHEE,8298,5,Doctoral Research,Donnelly,Vincent M.,0,0,0,0,0,1,0,0,0,0
Fall 2021,ENGL,3352,1,19th Century American Fiction,Wood,Barry Albert,21,5,0,0,0,0,0,0,4,3.63
Fall 2021,ECE,4117,1,Telecommunications Laboratory,Han,Zhu,19,0,0,0,0,0,0,0,0,4
Fall 2021,NUTR,2332,6,Intro To Human Nutrition,Alastuey,Lisa L,18,8,9,2,4,0,0,0,6,2.765
Fall 2021,MECE,2336,1,Mechanics I,Hammami,Farah,9,5,9,1,0,0,0,0,1,2.917
Fall 2021,WGSS,4395,1,Sel Tops in Women's Studies,Tuthill,Zelma,7,0,0,0,3,0,0,0,0,2.8
Fall 2021,PSYC,3301,3,Intro Psych Stats,Steinberg,Lynne,2,8,5,5,10,0,0,0,10,1.567
Fall 2021,COMM,4398,4,Independent Study,Crowe,Craig Warren,1,0,0,0,0,0,0,0,0,4
Fall 2021,PEP,7398,1,Adv Special Problem Human Perf,LaVoy,Emily Claire-Pyle,0,0,0,0,0,1,0,0,0,0
Fall 2021,PSYC,6399,10,Masters Thesis,Williams,Michael W,0,0,0,0,0,1,0,0,0,0
Fall 2021,MECE,8598,39,Doctoral Research,Zhao,Bo,0,0,0,0,0,1,0,0,0,0
Fall 2021,ECE,3317,1,Applied Electromagnetic Waves,Jackson,David R,13,21,11,7,2,0,0,0,19,2.667
Fall 2021,COSC,1437,3,Introduction to Programming,Rincon Castro,Carlos Alberto,28,16,18,6,21,0,0,0,16,2.244
Fall 2021,ARTH,4383,1,Contemporary Painting,Barbee,Robert N,10,11,7,1,1,0,0,0,1,2.856
Fall 2021,SCLT,4398,30,Independent Study,Chopra,Anuj,6,3,1,0,1,0,0,0,0,3.242
Fall 2021,ARTS,4370,1,Sr Photo/Digital Media Major I,Anderson-Staley,Keliy,10,7,0,0,0,0,0,0,0,3.491
Fall 2021,BUSI,4350,10,Business Law and Ethics,Williams,John M,50,22,7,3,3,0,0,0,4,3.244
Fall 2021,ANTH,3364,1,Disease in Antiquity,Storey,Rebecca,27,24,6,1,4,0,0,0,2,3.07
Fall 2021,CUIN,4315,2,Assessment of Children,Tajani,Neelofer A,20,9,3,1,1,0,0,0,0,3.324
Fall 2021,HON,2301,28,Human Situation: Antiquity,Lyke,Larry,9,8,0,0,0,0,0,0,0,3.626
Fall 2021,BIOL,2101,6,Anatomy & Physiology Lab I,Gill,Tejendra,4,8,6,1,0,0,0,0,4,2.755
Fall 2021,MANA,   6A25,1,Ethical Leadrshp & Crit Reason,Carlin,Barbara A,12,4,0,0,0,0,0,0,0,3.688
Fall 2021,SOCW,7310,1,Program Planning & Evaluation,Lea III,Charles Herbert,28,0,0,0,0,0,0,0,0,3.918
Fall 2021,PHYS,6378,1,Advanced Statistical Mechanics,Gunaratne,Gemunu,6,0,0,0,0,0,0,0,0,4
Fall 2021,COMD,6334,1,Aphasia & Related Com Disorder,Maher,Lynn M,26,9,0,0,0,0,0,0,0,3.649
Fall 2021,ELCS,6393,1,Practicum,Klussmann,Duncan Foster,12,0,0,0,0,0,0,0,1,4
Fall 2021,ACCT,7370,1,Adv Fin Statement Auditing,Zhao,Yuping,27,36,0,0,0,0,0,0,1,3.507
Fall 2021,GENB,7305,2,Commercial Law,Green,John L.,6,6,0,0,0,0,0,0,0,3.308
Fall 2021,SOCW,6306,1,Social Work Practice Skills,Gonzales,Shelley A,29,0,0,0,0,0,0,0,0,4
Fall 2021,BIOL,8399,4,Doctoral Dissertation,Cole,Blaine J,1,0,0,0,0,0,0,0,0,4
Fall 2021,ARLD,6330,1,Arts and Technology,Gresham,Zachary Evan,6,2,0,1,0,0,0,0,0,3.371
Fall 2021,ACCT,7373,1,Appl Data Analytics in Acct I,Miles,Carolyn A,31,5,0,0,0,0,0,0,1,3.797
Fall 2021,ECON,8361,1,Workshop Research Methods III,Maheshri,Vikram,9,0,0,0,0,0,0,0,0,4
Fall 2021,SOC,3400,1,Intro To Social Statistics,Hwang,Hyunseok,16,11,7,0,2,0,0,0,3,3.001
Fall 2021,HRMA,3349,1,Hospitality Purchasing,Jarvis,Nathan Alexander,13,23,12,7,1,0,0,0,1,2.779
Fall 2021,ACCT,3377,2,Cost Accounting,Lin,Haijin,18,19,7,0,1,0,0,0,7,3.156
Fall 2021,WGSS,2350,8,Intro To Women's Studies,Pegoda,Andrew Joseph,16,6,4,0,1,0,0,0,3,3.272
Fall 2021,CHEM,2123,27,Organic Chemistry Lab I,Bean,Mary B,2,8,6,2,1,0,0,0,4,2.525
Fall 2021,ELET,4304,1,Control Systems,Barbieri,Enrique,1,10,10,3,0,0,0,0,2,2.348
Fall 2021,PHYS,2126,2,University Physics Lab II,Wood,Lowell T,2,12,6,1,0,0,0,0,0,2.667
Fall 2021,POLS,3397,2,Selected Topics in Public Law,Erwing,Douglas A,10,3,0,0,1,0,0,0,0,3.547
Fall 2021,ENGL,1302,9,First Year Writing II,Lowe,Jennifer Samantha Anne,6,2,5,1,6,0,0,0,0,2.1
Fall 2021,ARCH,3500,39,Architecture Design Studio V,Davis,Curtis M,3,3,4,0,0,0,0,0,0,2.702
Fall 2021,ENGL,3301,2,Intro To Literary Studies,Majumder,Auritro,6,7,0,0,2,0,0,0,2,3
Fall 2021,ACCT,3377,3,Cost Accounting,Lin,Haijin,12,11,6,1,2,0,0,0,4,2.896
Fall 2021,INDS,2260,3,Materials and Fab Methods,Wells,Adam C,1,12,1,0,0,0,0,0,0,3
Fall 2021,PHYS,4360,1,Space and Atmospheric Physics,Bering,Edgar A,3,0,0,0,1,0,0,0,0,3
