TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2014",BIOE,8198,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Summer 2014",BIOE,8198,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2014",BIOE,8198,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2014",BIOE,8298,1,"Doctoral Research","Akay PhD",Metin,,,,,,,
"Summer 2014",BIOE,8398,16,"Doctoral Research",Merchant,"Fatima Aziz",,,,,,,
"Summer 2014",BIOE,8398,4,"Doctoral Research",Birla,"Ravi K",,,,,,,
"Summer 2014",BIOE,8398,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2014",BIOE,8598,10,"Doctoral Research",Omurtag,Ahmet,,,,,,,
"Summer 2014",BIOE,8598,2,"Doctoral Research",Larin,Kirill,,,,,,,
"Summer 2014",BIOE,8598,4,"Doctoral Research",Birla,"Ravi K",,,,,,,
"Summer 2014",BIOE,8598,6,"Doctoral Research",Gifford,Howard,,,,,,,
"Summer 2014",BIOE,8598,7,"Doctoral Research",Ince,"Nuri Firat",,,,,,,
"Summer 2014",BIOE,8598,8,"Doctoral Research",May,"Elebeoba E",,,,,,,
"Summer 2014",BIOL,4298,7,"Independent Study",Williams,Lawrence,,,,,,,
"Summer 2014",BIOL,6198,1,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BIOL,6198,7,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BIOL,6298,2,"Special Problems",Wiernasz,"Diane C",,,,,,,
"Summer 2014",BIOL,6298,3,"Special Problems",Zufall,"Rebecca A",,,,,,,
"Summer 2014",BIOL,6298,7,"Special Problems",Sater,Amy,,,,,,,
"Summer 2014",BIOL,6298,1,"Special Problems",Cooper,"Timothy F",,,,,,,
"Summer 2014",BIOL,6298,12,"Special Problems",Roman,"Gregg W",,,,,,,
"Summer 2014",BIOL,6298,16,"Special Problems",Azevedo,Ricardo,,,,,,,
"Summer 2014",BIOL,6298,17,"Special Problems",Graur,Dan,,,,,,,
"Summer 2014",BIOL,6298,30,"Special Problems",Ostrowski,"Elizabeth A",,,,,,,
"Summer 2014",BIOL,6298,32,"Special Problems",Liu,Yu,,,,,,,
"Summer 2014",BIOL,6298,33,"Special Problems",Roman,"Gregg W",,,,,,,
"Summer 2014",BIOL,6298,34,"Special Problems",Tejada-Simon,"Maria Victoria",,,,,,,
"Summer 2014",BIOL,6498,5,"Special Problems",Azevedo,Ricardo,,,,,,,
"Summer 2014",BIOL,6498,7,"Special Problems",Roman,"Gregg W",,,,,,,
"Summer 2014",BIOL,6498,8,"Special Problems",Zufall,"Rebecca A",,,,,,,
"Summer 2014",BIOL,6498,1,"Special Problems",Cooper,"Timothy F",,,,,,,
"Summer 2014",BIOL,6498,14,"Special Problems",Wiernasz,"Diane C",,,,,,,
"Summer 2014",BIOL,6498,15,"Special Problems",Graur,Dan,,,,,,,
"Summer 2014",BIOL,6498,30,"Special Problems",Ostrowski,"Elizabeth A",,,,,,,
"Summer 2014",BIOL,6498,32,"Special Problems",Liu,Yu,,,,,,,
"Summer 2014",BIOL,6498,33,"Special Problems",Tejada-Simon,"Maria Victoria",,,,,,,
"Summer 2014",BIOL,6498,9,"Special Problems",Roman,"Gregg W",,,,,,,
"Summer 2014",BIOL,6598,1,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BIOL,6598,6,"Special Problems",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BIOL,8198,3,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Summer 2014",BIOL,8298,7,"Doctoral Research",Dryer,"Stuart E",,,,,,,
"Summer 2014",BIOL,8298,16,"Doctoral Research",Pennings,"Steven C",,,,,,,
"Summer 2014",BIOL,8298,17,"Doctoral Research",Sater,Amy,,,,,,,
"Summer 2014",BIOL,8298,19,"Doctoral Research",Lin,Chin-Yo,,,,,,,
"Summer 2014",BIOL,8298,20,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Summer 2014",BIOL,8298,21,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2014",BIOL,8298,22,"Doctoral Research",Khurana,Seema,,,,,,,
