TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2020,CHEM,1111,2,Fundamentals of Chm Lab,Zaitsev,Vladimir G,5,8,1,0,0,2,0,0,2.508
Summer 2020,GEOL,8698,14,Doctoral Research,Wellner,Julia S,0,0,0,0,0,2,0,0,0
Summer 2020,SOCW,7397,7,Selected Topics in Social Work,Gearing,Robin Edward,1,0,0,0,0,0,0,0,4
Summer 2020,PHAR,5457,1,Institutional IPPE,Hatfield,Catherine L,61,1,0,0,0,0,0,0,3.984
Summer 2020,MANA,4397,3,Selected Topics in Mana,Celly,Nikhil,34,0,0,0,0,1,0,0,3.763
Summer 2020,CHEM,8399,25,Doctoral Dissertation,Teets,Thomas,1,0,0,0,0,0,0,0,4
Summer 2020,CHEE,8498,20,Doctoral Research,Palmer,Jeremy,0,0,0,0,0,6,0,0,0
Summer 2020,MATH,8698,5,Doctoral Research,Olshanskiy,Maxim Alexandrovich,0,0,0,0,0,4,0,0,0
Summer 2020,SOCW,7347,1,SW Practice & Interv in School,Leger,Jan Ellen,20,4,0,0,0,0,0,0,3.601
Summer 2020,MANA,   6A83,1,Strategic Analysis,Celly,Nikhil,10,2,0,0,0,0,0,0,3.513
Summer 2020,MATH,5310,1,History of Mathematics,Ji,Shanyu,18,0,0,0,0,0,0,0,4
Summer 2020,CHEM,6698,20,Special Problems,Do,Loi H,0,0,0,0,0,3,0,0,0
Summer 2020,TLIM,4342,30,Quality Improvement Methods,Chance,Michael Dean,33,4,0,0,0,4,0,0,3.35
Summer 2020,FINA,4328,1,Principles of Personal Finance,Coleman,Alfred G,22,12,0,0,0,12,0,1,2.638
Summer 2020,MARK,3337,2,Professional Selling,Kelly,Robert J,10,8,1,0,0,12,0,3,2.01
Summer 2020,CHEM,8698,7,Doctoral Research,Guloy,Arnold M,0,0,0,0,0,3,0,0,0
Summer 2020,MANA,7397,2,Selected Topics in Management,Vera,Dusya M,14,0,0,0,0,0,0,0,3.859
Summer 2020,PHOP,6257,10,Research Practicum B,Marsack,Jason,1,0,0,0,0,0,0,0,4
Summer 2020,CHEE,8399,11,Doctoral Dissertation,Palmer,Jeremy,1,0,0,0,0,0,0,0,4
Summer 2020,LAW,5297,1,Selected Topics,Engerrand,Kenneth G,0,0,0,0,0,11,0,0,0
Summer 2020,CIVE,8298,3,Doctoral Research,Glennie,Craig Len,0,0,0,0,0,6,0,0,0
Summer 2020,PSYC,6365,2,Dir Rsch in Dev Cog Beh Neuro,Hernandez,Arturo E,3,0,0,0,0,0,0,0,4
Summer 2020,CHEE,8298,15,Doctoral Research,Robertson,Megan L,0,0,0,0,0,0,4,0,0
Summer 2020,CHEE,8498,9,Doctoral Research,Cirino,Patrick C,0,0,0,0,0,0,2,0,0
Summer 2020,ECE,8498,4,Doctoral Research,Han,Zhu,0,0,0,0,0,2,0,0,0
Summer 2020,COMD,7391,11,Clinic in Speech Lang Disorder,Tragesser,Bridgid Jane,2,0,0,0,0,0,0,0,3.67
Summer 2020,BCHS,8698,21,Doctoral Research,Fujita,Masaya,0,0,0,0,0,1,0,0,0
Summer 2020,ECE,8598,4,Doctoral Research,Chen,Jinghong,0,0,0,0,0,1,0,0,0
Summer 2020,PETR,8399,7,Doctoral Dissertation,Myers,Michael Tolbert,0,0,0,0,0,0,0,0,0
Summer 2020,HRMA,3160,1,Hospitality Practicum II,Guchait,Priyanko,29,1,0,0,0,3,0,3,3.372
Summer 2020,HRMA,4354,1,Adv Hospitality Operation Mgmt,Doudna,Simone P,20,6,1,0,0,1,0,0,3.391
Summer 2020,BIOL,1162,6,Intro To Biol Science Lab 2,Hanke,Marc H,13,3,1,0,0,2,0,2,3.134
Summer 2020,KIN,4350,1,Sport Marketing,Walsh,David W,9,29,6,0,0,22,0,2,1.928
Summer 2020,MANA,4397,2,Selected Topics in Mana,Sebastijanovic,Marina,17,11,0,0,0,8,0,1,2.756
Summer 2020,SCLT,3340,30,Geography for GSC,Butler Jr,Bobby Dwight,14,5,0,0,0,0,0,3,3.55
Summer 2020,ACCT,2331,2,Acct Principles I - Financial,Sykes,Mary Reeves,20,15,3,0,0,22,0,2,2.175
Summer 2020,GEOL,8698,20,Doctoral Research,Zhou,Hua-Wei,0,0,0,0,0,2,0,0,0
Summer 2020,BCHS,8698,38,Doctoral Research,Lin,Chin-Yo,0,0,0,0,0,1,0,0,0
Summer 2020,PHYS,1102,6,General Physics Laboratory II,Wood,Lowell T,5,16,1,0,0,7,0,0,2.355
Summer 2020,HRMA,6191,1,Project Development,Ramirez,Arlene D,0,0,0,0,0,19,0,0,0
Summer 2020,PHLS,7326,1,Counseling in the Schools,Wines,Lisa A,7,1,0,0,0,1,0,0,3.261
Summer 2020,MECE,3360,1,Experimental Methods,Chen,Xuemei,15,15,2,0,0,8,0,2,2.611
Summer 2020,CHEM,3221,4,Fund of Organic Chem. Lab I,Zaitsev,Vladimir G,7,14,0,0,0,2,0,0,3.087
Summer 2020,PHLS,8351,1,Hist & Philosophy of Psyc Syst,Day,Susan X,38,0,0,0,0,0,0,0,4
Summer 2020,THEA,6182,1,Applying Methods Light/Costume,Willson,Paige A,12,0,0,0,0,0,0,0,4
Summer 2020,PSYC,4321,4,Abnormal Psychology,Long,Laura J,25,11,0,0,0,3,0,0,3.351
Summer 2020,HIST,2368,1,Intro to African Studies,Klieman,Kairn,14,9,0,0,0,7,0,1,2.614
Summer 2020,HDCS,1300,3,Human Ecosystems & Tech Change,Stewart,Juliana Floriene,14,7,0,0,0,5,0,1,2.61
Summer 2020,PSYC,8190,1,Clinical Neuropsyc Internship,Sharp,Carla,0,0,0,0,0,0,0,0,0
Summer 2020,POLS,1336,3,US and Texas Const/Politics,Da Costa,Rebecca Ann,61,9,4,0,0,6,0,0,3.39
Summer 2020,COMM,3315,1,News and Social Media,Ojeda,Jessica Sofia,12,3,0,0,0,1,0,1,3.334
Summer 2020,HON,3397,2,Honors Selected Topics,Lunstroth,John,7,0,0,0,0,0,0,0,4
Summer 2020,FINA,4397,2,Selected Topics in Finance,Kapatos,Nick Gus,10,10,3,0,0,18,0,0,1.862
Summer 2020,SOCW,7397,4,Selected Topics in Social Work,Parker,Jamie Lynne,1,0,0,0,0,0,0,0,4
Summer 2020,BCHS,8698,34,Doctoral Research,Sen,Mehmet,0,0,0,0,0,2,0,0,0
Summer 2020,CIVE,8399,19,Doctoral Dissertation,Li,Hongyi,0,0,0,0,0,0,0,0,0
Summer 2020,CIVE,7399,6,Masters Thesis,Krakowiak,Konrad,1,0,0,0,0,0,0,0,4
Summer 2020,ECE,8298,20,Doctoral Research,Becker,Aaron T,0,0,0,0,0,1,0,0,0
Summer 2020,BIOE,8198,23,Doctoral Research,Francis,Joseph Thachil,0,0,0,0,0,0,5,0,0
Summer 2020,PHAR,5691,1,Drug Information,Tolleson,Shane Russell,1,0,0,0,0,0,0,0,4
Summer 2020,MECE,8699,6,Doctoral Dissertation,Grigoriadis,Karolos,0,0,0,0,0,0,0,0,0
