TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",CHEE,8498,5,"Doctoral Research",Vekilov,Peter,,,,,,,
"Summer 2016",CHEE,8498,6,"Doctoral Research",Stein,"Gila E",,,,,,,
"Summer 2016",CHEE,8498,7,"Doctoral Research",Kostarelos,Konstantinos,,,,,,,
"Summer 2016",CHEE,8498,8,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Summer 2016",CHEE,8498,9,"Doctoral Research",Cirino,"Patrick C",,,,,,,
"Summer 2016",CHEE,8498,10,"Doctoral Research",Krishnamoorti,Ramanan,,,,,,,
"Summer 2016",CHEE,8498,12,"Doctoral Research",Varadarajan,Navin,,,,,,,
"Summer 2016",CHEE,8498,13,"Doctoral Research",Balakotaiah,Vemuri,,,,,,,
"Summer 2016",CHEE,8498,14,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Summer 2016",CHEE,8498,15,"Doctoral Research",Robertson,"Megan L",,,,,,,
"Summer 2016",CHEE,8498,16,"Doctoral Research",Qin,Guan,,,,,,,
"Summer 2016",CHEE,8498,17,"Doctoral Research",Conrad,"Jacinta C",,,,,,,
"Summer 2016",CHEE,8498,18,"Doctoral Research",Grabow,"Lars C",,,,,,,
"Summer 2016",CHEE,8498,19,"Doctoral Research",Epling,"William S",,,,,,,
"Summer 2016",CHEE,8498,20,"Doctoral Research",Palmer,Jeremy,,,,,,,
"Summer 2016",CHEE,8598,1,"Doctoral Research",Rimer,Jeffrey,,,,,,,
"Summer 2016",CHEE,8598,3,"Doctoral Research",Krishnamoorti,Ramanan,,,,,,,
"Summer 2016",CHEE,8598,4,"Doctoral Research",Economou,"Demetre J",,,,,,,
"Summer 2016",CHEE,8598,6,"Doctoral Research",Myers,"Michael Tolbert",,,,,,,
"Summer 2016",CHEE,8598,9,"Doctoral Research",Harold,"Michael P",,,,,,,
"Summer 2016",CHEM,6698,1,"Special Problems",Baldelli,Steve,,,,,,,
"Summer 2016",CHEM,6698,4,"Special Problems",Cai,Chengzhi,,,,,,,
"Summer 2016",CHEM,6698,5,"Special Problems",Daugulis,Olafs,,,,,,,
"Summer 2016",CHEM,6698,6,"Special Problems",Gilbertson,"Scott R",,,,,,,
"Summer 2016",CHEM,6698,7,"Special Problems",Guloy,"Arnold M",,,,,,,
"Summer 2016",CHEM,6698,8,"Special Problems",Halasyamani,"P Shiv",,,,,,,
