TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2021,NURS,6318,1,18790,Healthcare Delivery Sys & Orgn,Brohard,Cheryl L,6,3,0,0,0,0,0,0,0,3.667
Summer 2021,NURS,6331,1,18795,Advanced Pharmacotherapy,Brooks,Andrea Nicole,5,2,1,0,0,0,0,0,1,3.5
Summer 2021,HLT,4392,2,18903,Field Work in Community Health,Solari Williams,Kayce D.,16,4,3,0,0,0,0,0,0,3.551
Summer 2021,MATH,8398,12,19788,Doctoral Research,Heier,Gordon,0,0,0,0,0,1,0,0,0,0
Summer 2021,COMM,2320,1,13174,Fundamentals Media Production,Crowe,Craig Warren,19,7,2,0,1,0,0,0,0,3.46
Summer 2021,LAW,5104,1,10172,Houston Business/Tax Journal,Wells,Douglas,0,0,0,0,0,1,0,0,0,0
Summer 2021,PHOP,6198,6,19120,Spec Prob-Physio Optics,Rump,Rachel,1,0,0,0,0,0,0,0,0,4
Summer 2021,PHAR,5457,2,18737,Institutional IPPE,Hatfield,Catherine L,47,9,0,0,0,0,0,0,0,3.839
Summer 2021,LAW,5407,10,13720,Judicial Externship I,Worrell,Carey Ann,0,0,0,0,0,2,0,0,0,0
Summer 2021,COSC,8398,119,15806,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,1,0,0,0,0
Summer 2021,ACCT,3366,2,18547,Financial Reporting Frameworks,Harris,Kathleen L,6,9,7,12,6,0,0,0,22,1.925
Summer 2021,COMD,7391,15,15091,Clinic in Speech Lang Disorder,Joseph,Megan E,2,0,0,0,0,0,0,0,0,4
Summer 2021,PSYC,3337,2,18689,Psychology of Human Sexuality,Vahedi,Meisam,48,5,4,0,2,0,0,0,0,3.622
Summer 2021,LAW,6300,11,14769,Govt Nonprofit Extshp I,Hancock,Amy Sladczyk,0,0,0,0,0,3,0,0,0,0
Summer 2021,PSYC,8399,3,14218,Doctoral Dissertation,Medina PhD,Luis Daniel,0,0,0,0,0,1,0,0,0,0
Summer 2021,CHEM,8398,24,14964,Doctoral Research,Halasyamani,P Shiv,0,0,0,0,0,1,0,0,0,0
Summer 2021,ECON,6693,1,13956,Master's Research Project,Zhivan,Natalia A.,6,0,0,0,0,0,0,0,0,4
Summer 2021,SCM,3301,1,11023,SCM Fundamentals,Khumawala,Basheer M,96,43,7,2,0,0,0,0,3,3.536
