TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Fall 2020,WGSS,2350,8,Intro To Women's Studies,Pegoda,Andrew Joseph,6,4,1,0,0,10,0,0,1.345
Fall 2020,INDS,7301,3,Design Thesis II,Kwon,Eunsook,1,0,0,0,0,0,0,0,4
Fall 2020,BIOL,1134,21,Hum Anat Physiol Lab I,Gill,Tejendra,6,9,0,0,1,3,0,4,2.567
Fall 2020,ACCT,2302,11,Prin of Managerial Accounting,Weber,Catherine K,20,16,4,0,0,10,0,2,2.561
Fall 2020,COMM,7397,1,Selected Topics - Comm,Camaj,Lindita,9,0,0,0,0,0,0,0,4
Fall 2020,ASLI,2233,1,History of Interpreting,Hill,Sharon Grigsby,9,8,0,0,0,2,0,1,3
Fall 2020,BIOL,1310,2,General Biology 1,Leming,Jenifer Beth,50,73,18,0,0,115,0,9,1.579
Fall 2020,ART,3334,1,Introduction to Typography,Hagmann,Sibylle,8,8,1,0,0,1,0,3,2.778
Fall 2020,BIOL,1134,15,Hum Anat Physiol Lab I,Gill,Tejendra,8,7,1,0,0,5,0,2,2.455
Fall 2020,CHEM,1111,50,Fundamentals of Chm Lab,Zaitsev,Vladimir G,6,5,0,0,0,5,0,1,2.018
Fall 2020,ENGL,6398,1,Rd&Research in Lang&Lit,Nelson,Antonya,0,0,0,0,0,2,0,0,0
Fall 2020,COSC,8998,119,Doctoral Research,Ordonez,Carlos,0,0,0,0,0,1,0,0,0
Fall 2020,IDNS,1112,3,Physics 1322 Workshop,Pattison,Donna,4,0,0,0,0,0,0,0,4
Fall 2020,LAW,6349,1,Consumer Law Clinic,Marquez,Ryan Michael,1,0,0,0,0,0,0,0,4
Fall 2020,LAW,5397,4,Selected Topics,Marquez,Jason R,1,1,0,0,0,0,0,0,3.5
Fall 2020,MUSA,6300,8,Applied Voice,Evans,Joseph,1,0,0,0,0,0,0,0,4
Fall 2020,COSC,8399,129,Doctoral Dissertation,Verma,Rakesh M,1,0,0,0,0,0,0,0,3.67
Fall 2020,SCM,6301,1,Supply Chain Mgt Foundations,Smith,Gordon D,4,1,0,0,0,0,0,0,3.8
Fall 2020,CHEE,8399,5,Doctoral Dissertation,Orman,Mehmet,2,0,0,0,0,0,0,0,4
Fall 2020,DAN,1211,1,Modern Dance I Part I,Bobet,Jacqueline A,4,2,0,0,0,2,0,0,2.75
Fall 2020,ECON,7301,1,Seminar in Microecon Research,Chin,Aimee,0,0,0,0,0,4,0,0,0
Fall 2020,MECE,6388,1,Optimal Control Theory,Chen,Zheng,8,4,0,0,1,0,0,0,3.334
Fall 2020,PETR,8398,10,Doctoral Research,Thakur,Ganesh Chandra,0,0,0,0,0,1,0,0,0
Fall 2020,NAVY,1301,1,Naval Orientation,Winters,Adam W,1,5,1,0,0,1,0,1,2.584
Fall 2020,ART,4364,2,Senior Sculpture Major II,Conrad,Jillian,6,0,0,0,0,0,0,0,4
Fall 2020,MUSI,1220,4,Class Piano I,Van Kekerix,Todd Evan,1,0,0,0,0,0,0,0,4
Fall 2020,COSC,8698,125,Doctoral Research,Shi,Weidong,0,0,0,0,0,2,0,0,0
Fall 2020,ECE,8399,30,Doctoral Dissertation,Wolfe,John C,0,0,0,0,0,1,0,0,0
Fall 2020,MECE,8398,17,Doctoral Research,Liu,Dong,0,0,0,0,0,2,0,0,0
Fall 2020,MIS,8999,1,Doctoral Dissertation in MIS,Johnson,Norman A.,1,0,0,0,0,0,0,0,4
Fall 2020,MUSA,2334,3,Applied Clarinet,Rowell,Chester D,2,0,0,0,0,0,0,0,3.835
Fall 2020,MUSA,3444,2,Applied Trombone,Kauk,Brian Keith,2,0,0,0,0,0,0,0,4
Fall 2020,PSYC,6399,15,Masters Thesis,Eisenberger,Robert W,0,0,0,0,0,1,0,0,0
Fall 2020,ENTR,3311,1,Technology Entrepreneurship,McCormick,Kelly,12,4,0,0,0,3,0,1,2.594
Fall 2020,GEOL,7399,38,Masters Thesis,Wu,Jonathan En Lin,0,0,0,0,0,1,0,0,0
Fall 2020,PHOP,8499,1,Doctoral Dissertation,Das,Vallabh E,1,0,0,0,0,0,0,0,4
Fall 2020,ECE,6393,3,Special Projects I,Li,Xingpeng,2,1,0,0,0,0,0,0,3.557
Fall 2020,PHOP,8199,6,Doctoral Dissertation,Frishman,Laura J,1,0,0,0,0,0,0,0,4
Fall 2020,ENGL,2330,1,Writing Discipline English,Yang,Sunny Chen,10,4,0,0,0,4,0,0,2.6
Fall 2020,COSC,8998,125,Doctoral Research,Shi,Weidong,0,0,0,0,0,2,0,0,0
Fall 2020,PEP,7398,1,Adv Special Problem Human Perf,Arellano,Christopher,1,0,0,0,0,0,0,0,4
Fall 2020,CHEE,4398,1,Independent Study,Conrad,Jacinta C,1,0,0,0,0,0,0,0,4
Fall 2020,PSYC,8321,1,Clinical Psyc Internship,Vincent,John P,0,0,0,0,0,4,0,0,0
Fall 2020,BIOL,8999,30,Doctoral Dissertation,Chung,Sang-Hyuk,1,0,0,0,0,0,0,0,4
Fall 2020,ECE,8398,23,Doctoral Research,Shih,Wei-Chuan,0,0,0,0,0,1,0,0,0
Fall 2020,ARCH,6380,1,Architecture Plus Film,Froehlich,Dietmar,1,0,0,0,0,0,0,0,4
Fall 2020,PHCA,8298,3,Doctoral Dissertation Research,Johnson,Michael L,1,0,0,0,0,0,0,0,4
Fall 2020,ANTH,6398,2,Special Problems,Widmer,Randolph J,1,0,0,0,0,0,0,0,4
Fall 2020,HRMA,6364,1,Hosp. Managerial Accounting,Ramirez,Arlene D,2,0,0,1,0,0,0,0,3
Fall 2020,PHYS,8998,30,Doctoral Research,Renshaw,Andrew,0,0,0,0,0,1,0,0,0
Fall 2020,PHOP,8399,7,Doctoral Dissertation,Richdale,Kathryn L,1,0,0,0,0,0,0,0,4
Fall 2020,POLS,8999,29,Doctoral Dissertation,Bailey,Jeremy D,0,0,0,0,0,1,0,0,0
Fall 2020,ENGL,8398,1,Graduate English Resrch,Turchi,Peter D,0,0,0,0,0,1,0,0,0
Fall 2020,PHYS,6350,3,Computational Physics,Morrison,Gregory C,1,4,0,0,0,0,0,0,3.134
Fall 2020,ECE,6011,1,Colloquium,Long,Stuart A,0,0,0,0,0,19,0,0,0
Fall 2020,MUSI,4112,5,Chamber Music - Woodwind,Dinitz,Adam L,5,0,0,0,0,0,0,0,4
Fall 2020,IDNS,1111,3,Physics 1321 Workshop,Pattison,Donna,2,0,0,0,0,1,0,0,2.667
Fall 2020,ELCS,6370,1,Research for Educatnal Leaders,Gonzalez,Elsa,16,1,0,0,0,0,0,0,3.941
